

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x1820c, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
125222.863128,00103,0034: execute succeeded
125222.863160,00103,0034: before writing message
125222.863340,00103,0034: writing message completed
125222.863345,00103,0034: waiting for command
125222.865110,00103,0034: cmd: "load_dish"
125222.865124,00103,0034: got: "---"
125222.865130,00103,0034: got: "- aaxh"
125222.865136,00103,0034: got: "..."
125222.865152,00103,0034: yaml parsing succeeded
125222.865236,00103,0034: parsed params:
---
- aaxh
125222.865251,00103,0034: got command
125222.865255,00103,0034: before check input parameters
125222.865259,00103,0034: before calling execute
125222.865847,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
125222.867298,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
125222.931824,00103,0f0a: Initialize: enter
125222.931835,00103,0f0a: Initialize: exit (10 us)
125222.931886,00103,0034: AAXDishCommon::CSharedData created
125222.931988,00103,0034: yaml parsing succeeded
125222.932239,00103,0034: yaml parsing succeeded
125222.933089,00103,0034: yaml parsing succeeded
125222.933183,00103,0034: yaml parsing succeeded
125222.933274,00103,0034: yaml parsing succeeded
125222.933359,00103,0034: yaml parsing succeeded
125222.933495,00103,0034: yaml parsing succeeded
125222.933971,00103,0034: yaml parsing succeeded
125222.934102,00103,0034: yaml parsing succeeded
125222.934831,00103,0034: yaml parsing succeeded
125222.936268,00103,0034: yaml parsing succeeded
125222.936721,00103,0034: yaml parsing succeeded
125222.938251,00103,0034: yaml parsing succeeded
125222.938608,00103,0034: yaml parsing succeeded
125222.938973,00103,0034: yaml parsing succeeded
125222.939606,00103,0034: yaml parsing succeeded
125222.940059,00103,0034: yaml parsing succeeded
125222.940409,00103,0034: yaml parsing succeeded
125222.940858,00103,0034: dish loaded
125222.940866,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:DAE.dish:"
125222.940869,00103,0034: dish ignored
125222.940876,00103,0034: execute succeeded
125222.940878,00103,0034: before writing message
125222.940974,00103,0034: writing message completed
125222.940976,00103,0034: waiting for command
125222.941783,00103,0034: cmd: "teardown"
125222.941787,00103,0034: got: "--- "
125222.941789,00103,0034: got: "..."
125222.941795,00103,0034: yaml parsing succeeded
125222.941798,00103,0034: parsed params:
--- ~
125222.941801,00103,0034: got command
125222.941802,00103,0034: before check input parameters
125222.941803,00103,0034: before calling execute
125222.941844,00103,0f0a: Teardown: enter
125222.941852,00103,0f0a: Teardown: exit (8 us)
125222.941931,00103,0034: execute succeeded
125222.941935,00103,0034: before writing message
125222.942023,00103,0034: writing message completed
125222.942026,00103,0034: waiting for command
125222.942583,00103,0034: cmd: "init"
125222.942587,00103,0034: got: "--- debug_max"
125222.942589,00103,0034: got: "..."
125222.942593,00103,0034: yaml parsing succeeded
125222.942619,00103,0034: parsed params:
--- debug_max
125222.942622,00103,0034: got command
125222.942624,00103,0034: before check input parameters
125222.942625,00103,0034: cmd: init
125222.942646,00103,0034: 
