

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x176d8, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
123062.645373,00103,0034: execute succeeded
123062.645403,00103,0034: before writing message
123062.645685,00103,0034: writing message completed
123062.645694,00103,0034: waiting for command
123062.646769,00103,0034: cmd: "load_dish"
123062.646782,00103,0034: got: "---"
123062.646787,00103,0034: got: "- aaxh"
123062.646792,00103,0034: got: "..."
123062.646806,00103,0034: yaml parsing succeeded
123062.646884,00103,0034: parsed params:
---
- aaxh
123062.646896,00103,0034: got command
123062.646900,00103,0034: before check input parameters
123062.646903,00103,0034: before calling execute
123062.647518,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
123062.649012,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
123062.716459,00103,0f0a: Initialize: enter
123062.716469,00103,0f0a: Initialize: exit (9 us)
123062.716517,00103,0034: AAXDishCommon::CSharedData created
123062.716618,00103,0034: yaml parsing succeeded
123062.716847,00103,0034: yaml parsing succeeded
123062.717615,00103,0034: yaml parsing succeeded
123062.717701,00103,0034: yaml parsing succeeded
123062.717782,00103,0034: yaml parsing succeeded
123062.717857,00103,0034: yaml parsing succeeded
123062.717978,00103,0034: yaml parsing succeeded
123062.718427,00103,0034: yaml parsing succeeded
123062.718560,00103,0034: yaml parsing succeeded
123062.719304,00103,0034: yaml parsing succeeded
123062.720790,00103,0034: yaml parsing succeeded
123062.721237,00103,0034: yaml parsing succeeded
123062.722754,00103,0034: yaml parsing succeeded
123062.723111,00103,0034: yaml parsing succeeded
123062.723483,00103,0034: yaml parsing succeeded
123062.724140,00103,0034: yaml parsing succeeded
123062.724583,00103,0034: yaml parsing succeeded
123062.724916,00103,0034: yaml parsing succeeded
123062.725323,00103,0034: dish loaded
123062.725329,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:DAE.dish:"
123062.725331,00103,0034: dish ignored
123062.725337,00103,0034: execute succeeded
123062.725339,00103,0034: before writing message
123062.725424,00103,0034: writing message completed
123062.725425,00103,0034: waiting for command
123062.726171,00103,0034: cmd: "init"
123062.726175,00103,0034: got: "--- debug_max"
123062.726177,00103,0034: got: "..."
123062.726182,00103,0034: yaml parsing succeeded
123062.726209,00103,0034: parsed params:
--- debug_max
123062.726211,00103,0034: got command
123062.726213,00103,0034: before check input parameters
123062.726214,00103,0034: cmd: init
123062.726235,00103,0034: 
