

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x17433, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
122859.490162,00103,0034: execute succeeded
122859.490187,00103,0034: before writing message
122859.490421,00103,0034: writing message completed
122859.490428,00103,0034: waiting for command
122859.492988,00103,0034: cmd: "load_dish"
122859.493013,00103,0034: got: "---"
122859.493021,00103,0034: got: "- aaxh"
122859.493024,00103,0034: got: "..."
122859.493060,00103,0034: yaml parsing succeeded
122859.493144,00103,0034: parsed params:
---
- aaxh
122859.493163,00103,0034: got command
122859.493168,00103,0034: before check input parameters
122859.493172,00103,0034: before calling execute
122859.493725,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
122859.495302,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
122861.845604,00103,0f0a: Initialize: enter
122861.845630,00103,0f0a: Initialize: exit (26 us)
122861.845725,00103,0034: AAXDishCommon::CSharedData created
122861.845931,00103,0034: yaml parsing succeeded
122861.846172,00103,0034: yaml parsing succeeded
122861.846928,00103,0034: yaml parsing succeeded
122861.847026,00103,0034: yaml parsing succeeded
122861.847104,00103,0034: yaml parsing succeeded
122861.847175,00103,0034: yaml parsing succeeded
122861.847300,00103,0034: yaml parsing succeeded
122861.847731,00103,0034: yaml parsing succeeded
122861.847857,00103,0034: yaml parsing succeeded
122861.848520,00103,0034: yaml parsing succeeded
122861.849898,00103,0034: yaml parsing succeeded
122861.850331,00103,0034: yaml parsing succeeded
122861.851699,00103,0034: yaml parsing succeeded
122861.852069,00103,0034: yaml parsing succeeded
122861.852423,00103,0034: yaml parsing succeeded
122861.853030,00103,0034: yaml parsing succeeded
122861.853431,00103,0034: yaml parsing succeeded
122861.853753,00103,0034: yaml parsing succeeded
122861.854146,00103,0034: dish loaded
122861.854159,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:DAE.dish:"
122861.854163,00103,0034: dish ignored
122861.854222,00103,0034: execute succeeded
122861.854226,00103,0034: before writing message
122861.854314,00103,0034: writing message completed
122861.854316,00103,0034: waiting for command
122861.855163,00103,0034: cmd: "init"
122861.855168,00103,0034: got: "--- debug_max"
122861.855169,00103,0034: got: "..."
122861.855174,00103,0034: yaml parsing succeeded
122861.855198,00103,0034: parsed params:
--- debug_max
122861.855201,00103,0034: got command
122861.855203,00103,0034: before check input parameters
122861.855204,00103,0034: cmd: init
122861.855224,00103,0034: 
failed sequence '""', user input 'debug_max', failure reason - got non empty input when expected empty element
122861.855252,00103,0034: before calling execute
122861.855275,00103,0034: DSH_TParameter::SetFromAny - set parameter "debuglevel" to "15"
122861.855286,00103,0f0a: AAXHShell_SetDebugLevel: returning true
122861.855296,00103,0f0a: AAXHShell_GetDebugLevel: returning true
122861.855332,00103,0034: execute succeeded
122861.855335,00103,0034: before writing message
122861.855443,00103,0034: writing message completed
122861.855446,00103,0034: waiting for command
122861.856186,00103,0034: cmd: "loadpi"
122861.856194,00103,0034: got: "--- "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin""
122861.856195,00103,0034: got: "..."
122861.856200,00103,0034: yaml parsing succeeded
122861.856236,00103,0034: parsed params:
--- /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
122861.856240,00103,0034: got command
122861.856241,00103,0034: before check input parameters
122861.856242,00103,0034: cmd: loadpi
122861.856263,00103,0034: before calling execute
