

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x17829, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
123165.611979,00103,0034: execute succeeded
123165.612006,00103,0034: before writing message
123165.612226,00103,0034: writing message completed
123165.612233,00103,0034: waiting for command
123165.614159,00103,0034: cmd: "load_dish"
123165.614180,00103,0034: got: "---"
123165.614186,00103,0034: got: "- aaxh"
123165.614191,00103,0034: got: "..."
123165.614206,00103,0034: yaml parsing succeeded
123165.614285,00103,0034: parsed params:
---
- aaxh
123165.614300,00103,0034: got command
123165.614305,00103,0034: before check input parameters
123165.614308,00103,0034: before calling execute
123165.614947,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
123165.616441,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
123165.683164,00103,0f0a: Initialize: enter
123165.683175,00103,0f0a: Initialize: exit (11 us)
123165.683230,00103,0034: AAXDishCommon::CSharedData created
123165.683334,00103,0034: yaml parsing succeeded
123165.683586,00103,0034: yaml parsing succeeded
123165.684436,00103,0034: yaml parsing succeeded
123165.684530,00103,0034: yaml parsing succeeded
123165.684616,00103,0034: yaml parsing succeeded
123165.684694,00103,0034: yaml parsing succeeded
123165.684816,00103,0034: yaml parsing succeeded
123165.685273,00103,0034: yaml parsing succeeded
123165.685405,00103,0034: yaml parsing succeeded
123165.686149,00103,0034: yaml parsing succeeded
123165.687651,00103,0034: yaml parsing succeeded
123165.688115,00103,0034: yaml parsing succeeded
123165.689627,00103,0034: yaml parsing succeeded
123165.689981,00103,0034: yaml parsing succeeded
123165.690349,00103,0034: yaml parsing succeeded
123165.690989,00103,0034: yaml parsing succeeded
123165.691457,00103,0034: yaml parsing succeeded
123165.691825,00103,0034: yaml parsing succeeded
123165.692282,00103,0034: dish loaded
123165.692289,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:DAE.dish:"
123165.692291,00103,0034: dish ignored
123165.692298,00103,0034: execute succeeded
123165.692300,00103,0034: before writing message
123165.692397,00103,0034: writing message completed
123165.692399,00103,0034: waiting for command
123165.693200,00103,0034: cmd: "init"
123165.693205,00103,0034: got: "--- debug_max"
123165.693206,00103,0034: got: "..."
123165.693221,00103,0034: yaml parsing succeeded
123165.693247,00103,0034: parsed params:
--- debug_max
123165.693250,00103,0034: got command
123165.693252,00103,0034: before check input parameters
123165.693253,00103,0034: cmd: init
123165.693275,00103,0034: 
failed sequence '""', user input 'debug_max', failure reason - got non empty input when expected empty element
123165.693302,00103,0034: before calling execute
123165.693319,00103,0034: DSH_TParameter::SetFromAny - set parameter "debuglevel" to "15"
123165.693326,00103,0f0a: AAXHShell_SetDebugLevel: returning true
123165.693334,00103,0f0a: AAXHShell_GetDebugLevel: returning true
123165.693349,00103,0034: execute succeeded
123165.693353,00103,0034: before writing message
123165.693477,00103,0034: writing message completed
123165.693480,00103,0034: waiting for command
123165.694227,00103,0034: cmd: "loadpi"
123165.694236,00103,0034: got: "--- "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin""
123165.694238,00103,0034: got: "..."
123165.694246,00103,0034: yaml parsing succeeded
123165.694294,00103,0034: parsed params:
--- /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
123165.694298,00103,0034: got command
123165.694300,00103,0034: before check input parameters
123165.694301,00103,0034: cmd: loadpi
123165.694324,00103,0034: before calling execute
123165.694334,00103,0034: DSH_TParameter::SetFromAny - set parameter "path" to "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin"
123165.694356,00103,0f0a: AAXHShell_CCommandManager::CreateList - created command list id: 0
123165.694359,00103,0f0a: AAXHShell_CreateCommandList: returning true
123165.694367,00103,0f0a: AAXHShell_AddCommandListData: returning true
123165.694368,00103,0f0a: AAXHShell_AddCommandListData: returning true
123165.694373,00103,0f0a: AAXHShell_CCommandManager::Push - pushed command to command list id: 0
123165.694374,00103,0f0a: AAXHShell_PushCommandLoadPlugIn: returning true
123165.694375,00103,0f0a: AAXHShell_CCommandManager::DoActionOnList - executing action: 0, command list id: 0
123165.694379,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Execute: enter
123165.694380,00103,0f0a: LoadPlugIn: enter
123165.694381,00103,0f0a:   path: /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
123165.703491,00103,0f0a: AAXHShell_CPlugInManager::LoadPlugIn succeeded - id: 0, collection: 0x600002030380, plug-in: /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
123165.703498,00103,0f0a: LoadPlugIn: exit (9117 us)
123165.703499,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Execute: exit (9119 us)
123165.703503,00103,0f0a: AAXHShell_ExecuteCommandList: returning true
123165.703511,00103,0f0a: AAXHShell_GetCommandListData: returning true
123165.703527,00103,0f0a: AAXHShell_GetCommandListData: returning true
123165.703537,00103,0f0a: AAXHShell_GetCommandListData: returning true
123165.703550,00103,0f0a: AAXHShell_GetPlugInPath: returning true
123165.703559,00103,0034: execute succeeded
123165.703562,00103,0034: before writing message
123165.703694,00103,0034: writing message completed
123165.703697,00103,0034: waiting for command
123165.704170,00103,0034: cmd: "listeffects"
123165.704174,00103,0034: got: "--- 0"
123165.704175,00103,0034: got: "..."
123165.704180,00103,0034: yaml parsing succeeded
123165.704204,00103,0034: parsed params:
--- 0
123165.704208,00103,0034: got command
123165.704209,00103,0034: before check input parameters
123165.704210,00103,0034: cmd: listeffects
123165.704229,00103,0034: 
failed sequence '""', user input '0', failure reason - got non empty input when expected empty element
123165.704253,00103,0034: before calling execute
123165.704264,00103,0034: DSH_TParameter::SetFromAny - set parameter "plugin" to "0"
123165.704268,00103,0f0a: AAXHShell_GetCommandListData: returning true
123165.704272,00103,0f0a: AAXHShell_GetCommandListData: returning true
123165.704276,00103,0f0a: AAXHShell_GetPlugInPath: returning true
123165.704279,00103,0f0a: AAXHShell_GetCommandListData: returning true
123165.704281,00103,0f0a: AAXHShell_GetNumberOfEffects: returning true
123165.704282,00103,0f0a: AAXHShell_GetCommandListData: returning true
123165.704286,00103,0f0a: AAXHShell_GetEffectIDByIndex: returning true
123165.704316,00103,0034: execute succeeded
123165.704321,00103,0034: before writing message
123165.704530,00103,0034: writing message completed
123165.704533,00103,0034: waiting for command
123165.705668,00103,0034: cmd: "getdescription"
123165.705672,00103,0034: got: "---"
123165.705674,00103,0034: got: "plugin: 0"
123165.705676,00103,0034: got: "effect: 0"
123165.705678,00103,0034: got: "stringformat: yaml"
123165.705679,00103,0034: got: "..."
123165.705686,00103,0034: yaml parsing succeeded
123165.705827,00103,0034: parsed params:
---
effect: 0
plugin: 0
stringformat: yaml
123165.705834,00103,0034: got command
123165.705836,00103,0034: before check input parameters
123165.705837,00103,0034: cmd: getdescription
123165.706016,00103,0034: 
failed sequence '"[plugin_listval, effect_listval]"' matching element '[plugin_listval, effect_listval]' with user input '{effect: 0, plugin: 0, stringformat: yaml}', failure reason - not a list
123165.706144,00103,0034: before calling execute
123165.706158,00103,0034: DSH_TParameter::SetFromAny - set parameter "effect" to "0"
123165.706161,00103,0034: DSH_TParameter::SetFromAny - set parameter "plugin" to "0"
123165.706167,00103,0034: DSH_TParameter::SetFromAny - set parameter "stringformat" to "2"
123165.706174,00103,0f0a: AAXHShell_GetCommandListData: returning true
123165.706389,00103,0f0a: AAXHShell_GetEffectDescriptionSize: returning true
123165.706394,00103,0f0a: AAXHShell_GetCommandListData: returning true
123165.706397,00103,0f0a: AAXHShell_GetEffectDescription: returning true
123165.708654,00103,0034: execute succeeded
123165.708709,00103,0034: before writing message
123165.711414,00103,0034: writing message completed
123165.711446,00103,0034: waiting for command
123165.713984,00103,0034: cmd: "teardown"
123165.713988,00103,0034: got: "--- "
123165.713989,00103,0034: got: "..."
123165.713993,00103,0034: yaml parsing succeeded
123165.713996,00103,0034: parsed params:
--- ~
123165.713998,00103,0034: got command
123165.714000,00103,0034: before check input parameters
123165.714001,00103,0034: before calling execute
123165.714007,00103,0f0a: AAXHShell_CCommandManager::DoActionOnList - executing action: 1, command list id: 0
123165.714009,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Undo: enter
123165.714010,00103,0f0a: UnloadPlugIn: enter
123165.714011,00103,0f0a:   pi: 0
123165.714048,00103,0f0a: UnloadPlugIn: exit (37 us)
123165.714050,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Undo: exit (40 us)
123165.714053,00103,0f0a: AAXHShell_UndoCommandList: returning true
123165.714057,00103,0f0a: AAXHShell_DeleteCommandList: returning true
123165.714058,00103,0f0a: AAXHShell_UndoAndDeleteCommandList: returning true
123165.714233,00103,0f0a: Teardown: enter
123165.714238,00103,0f0a: Teardown: exit (5 us)
123165.714301,00103,0034: execute succeeded
123165.714307,00103,0034: before writing message
123165.714390,00103,0034: writing message completed
123165.714392,00103,0034: waiting for command
123165.714719,00103,0034: cmd: "exit"
123165.714723,00103,0034: got: "--- "
123165.714724,00103,0034: got: "..."
123165.714728,00103,0034: yaml parsing succeeded
123165.714731,00103,0034: parsed params:
--- ~
123165.714733,00103,0034: got command
123165.714734,00103,0034: before check input parameters
123165.714735,00103,0034: before calling execute
123165.714737,00103,0034: execute succeeded
123165.714739,00103,0034: before writing message
