

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x17f00, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
124921.977657,00103,0034: execute succeeded
124921.977684,00103,0034: before writing message
124921.977998,00103,0034: writing message completed
124921.978007,00103,0034: waiting for command
124921.980118,00103,0034: cmd: "load_dish"
124921.980130,00103,0034: got: "---"
124921.980135,00103,0034: got: "- aaxh"
124921.980138,00103,0034: got: "..."
124921.980168,00103,0034: yaml parsing succeeded
124921.980271,00103,0034: parsed params:
---
- aaxh
124921.980291,00103,0034: got command
124921.980296,00103,0034: before check input parameters
124921.980302,00103,0034: before calling execute
124921.981213,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
124921.982993,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
124922.075422,00103,0f0a: Initialize: enter
124922.075473,00103,0f0a: Initialize: exit (50 us)
124922.075655,00103,0034: AAXDishCommon::CSharedData created
124922.075933,00103,0034: yaml parsing succeeded
124922.076135,00103,0034: yaml parsing succeeded
124922.076872,00103,0034: yaml parsing succeeded
124922.076960,00103,0034: yaml parsing succeeded
124922.077032,00103,0034: yaml parsing succeeded
124922.077100,00103,0034: yaml parsing succeeded
124922.077215,00103,0034: yaml parsing succeeded
124922.077637,00103,0034: yaml parsing succeeded
124922.077752,00103,0034: yaml parsing succeeded
124922.078401,00103,0034: yaml parsing succeeded
124922.079644,00103,0034: yaml parsing succeeded
124922.080022,00103,0034: yaml parsing succeeded
124922.081282,00103,0034: yaml parsing succeeded
124922.081580,00103,0034: yaml parsing succeeded
124922.081903,00103,0034: yaml parsing succeeded
