

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x176c4, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
123060.558845,00103,0f0a: AAXHShell_CPlugInManager::LoadPlugIn succeeded - id: 0, collection: 0x600003f488c0, plug-in: /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
123060.558852,00103,0f0a: LoadPlugIn: exit (9230 us)
123060.558853,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Execute: exit (9233 us)
123060.558857,00103,0f0a: AAXHShell_ExecuteCommandList: returning true
123060.558865,00103,0f0a: AAXHShell_GetCommandListData: returning true
123060.558881,00103,0f0a: AAXHShell_GetCommandListData: returning true
123060.558889,00103,0f0a: AAXHShell_GetCommandListData: returning true
123060.558899,00103,0f0a: AAXHShell_GetPlugInPath: returning true
123060.558907,00103,0034: execute succeeded
123060.558910,00103,0034: before writing message
123060.559052,00103,0034: writing message completed
123060.559055,00103,0034: waiting for command
123060.559533,00103,0034: cmd: "listeffects"
123060.559537,00103,0034: got: "--- 0"
123060.559538,00103,0034: got: "..."
123060.559544,00103,0034: yaml parsing succeeded
123060.559568,00103,0034: parsed params:
--- 0
123060.559572,00103,0034: got command
123060.559573,00103,0034: before check input parameters
123060.559574,00103,0034: cmd: listeffects
123060.559595,00103,0034: 
failed sequence '""', user input '0', failure reason - got non empty input when expected empty element
123060.559618,00103,0034: before calling execute
123060.559629,00103,0034: DSH_TParameter::SetFromAny - set parameter "plugin" to "0"
123060.559634,00103,0f0a: AAXHShell_GetCommandListData: returning true
123060.559638,00103,0f0a: AAXHShell_GetCommandListData: returning true
123060.559641,00103,0f0a: AAXHShell_GetPlugInPath: returning true
123060.559644,00103,0f0a: AAXHShell_GetCommandListData: returning true
123060.559646,00103,0f0a: AAXHShell_GetNumberOfEffects: returning true
